"Agency","Product_ID","Client_ID","Sales_Amount","Sales"
"107","1004","2001",178,16633
"107","1007","2001",139,15055
"107","1008","2001",435,61875
"107","1012","2001",220,9499
"107","1016","2001",380,61251
"107","1017","2001",152,26381
"107","1018","2001",175,21854
"107","1004","2001",251,31134
"107","1007","2001",180,23827
"107","1008","2001",564,63776
"107","1012","2001",240,15674
"107","1016","2001",546,71908
"107","1017","2001",114,16674
"107","1018","2001",230,21356
"107","1004","2001",145,22782
"107","1007","2001",52,10009
"107","1008","2001",266,48412
"107","1012","2001",100,10995
"107","1016","2001",643,54737
"107","1017","2001",261,34554
"107","1018","2001",243,26063
"107","1002","2001",13,1110
"107","1004","2001",119,7910
"107","1007","2001",49,5948
"107","1008","2001",327,39000
"107","1012","2001",1,39
"107","1016","2001",254,25413
"107","1017","2001",209,15114
"107","1018","2001",115,14021
"107","1004","2001",94,11891
"107","1007","2001",80,7973
"107","1008","2001",1004,117100
"107","1016","2001",325,27301
"107","1017","2001",135,16484
"107","1018","2001",64,5752
"108","1001","2009",104,28968
"108","1002","2009",334,38642
"108","1003","2009",152,8617
"108","1004","2009",232,17884
"108","1006","2009",223,43766
"108","1007","2009",78,4199
"108","1014","2009",488,43293
"108","1018","2009",199,12355
"109","1002","2007",1225,117009
"109","1007","2007",1288,67341
"109","1011","2007",824,56161
"110","1001","2010",133,18407
"110","1002","2010",282,21206
"110","1003","2010",65,4012
"110","1004","2010",38,3300
"110","1006","2010",757,130438
"110","1007","2010",85,4162
"110","1010","2010",146,17369
"110","1011","2010",631,56540
"110","1015","2010",194,17133
"111","1002","2008",248,54589
"111","1004","2008",264,19266
"111","1007","2008",116,19271
"111","1008","2008",377,29626
"111","1011","2008",145,11677
"111","1012","2008",417,24248
"111","1015","2008",87,9867
"111","1017","2008",188,22026
"111","1002","2008",196,24584
"111","1004","2008",516,50085
"111","1007","2008",309,27937
"111","1008","2008",695,144543
"111","1011","2008",137,17191
"111","1012","2008",117,3630
"111","1015","2008",83,8935
"111","1017","2008",186,24619
"111","1002","2008",318,31909
"111","1004","2008",162,22535
"111","1007","2008",102,9099
"111","1008","2008",217,13188
"111","1011","2008",62,4716
"111","1012","2008",96,4304
"111","1015","2008",20,2128
"111","1017","2008",176,23971
"111","1002","2008",346,28811
"111","1004","2008",215,21260
"111","1007","2008",159,18705
"111","1008","2008",392,58637
"111","1011","2008",63,6139
"111","1012","2008",70,3722
"111","1015","2008",21,1638
"111","1017","2008",170,35311
"111","1002","2008",177,32071
"111","1004","2008",78,14977
"111","1007","2008",184,19349
"111","1008","2008",390,24778
"111","1011","2008",78,13888
"111","1012","2008",66,2713
"111","1015","2008",92,6959
"111","1017","2008",172,24240
"113","1008","2004",3,258
"113","1018","2004",1,192
"114","1002","2004",398,41060
"114","1004","2004",401,55936
"114","1008","2004",1891,223835
"114","1012","2004",193,8151
"114","1016","2004",591,52177
"114","1017","2004",323,37458
"114","1018","2004",268,27711
"114","1002","2004",261,40352
"114","1004","2004",257,20995
"114","1008","2004",424,54785
"114","1012","2004",205,10402
"114","1016","2004",239,46092
"114","1017","2004",256,37227
"114","1018","2004",163,24291
"114","1002","2004",169,21016
"114","1004","2004",247,29238
"114","1008","2004",440,51200
"114","1012","2004",230,12846
"114","1016","2004",320,34273
"114","1017","2004",134,21019
"114","1018","2004",115,18020
"114","1002","2004",323,29685
"114","1004","2004",429,67624
"114","1008","2004",560,47179
